route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
5M,SH,5M-R03,Kampung Melayu - Tanah Abang,0,,5M-R03_shp
5M,SH,5M-R04,Tanah Abang - Kampung Melayu,1,,5M-R04_shp
5N,SH,5N-R01,Kampung Melayu - Ragunan,0,,5N-R01_shp
5N,SH,5N-R03,Ragunan - Kampung Melayu,1,,ii44
6,SH,6-R03,Ragunan - Dukuh Atas 2,0,,f8tv
6,SH,6-R04,Dukuh Atas 2 - Ragunan,1,,vpwb
6A,HK,6A-R03,Ragunan - MH Thamrin via Kuningan,0,,6A-R03_shp
6A,HK,6A-R04,MH Thamrin - Ragunan via Kuningan,1,,6A-R04_shp
6B,SH,6B-R03,Ragunan - MH Thamrin via Semanggi,0,,6B-R03_shp
6B,SH,6B-R04,MH Thamrin - Ragunan via Semanggi,1,,6B-R04_shp
6C,SH,6C-R01,Stasiun Tebet - Karet Via Patra Kuningan,0,,6C-R01_shp
6C,SH,6C-R02,Karet - Stasiun Tebet Via Patra Kuningan,1,,6C-R02_shp
6D,SH,6D-R03,Stasiun Tebet - Bundaran Senayan,1,,6D-R03_shp
6D,SH,6D-R04,Bundaran Senayan - Stasiun Tebet,0,,6D-R04_shp
6H,SH,6H-R03,Senen - Lebak Bulus,0,,6H-R03_shp
6H,SH,6H-R04,Lebak Bulus - Senen,1,,6H-R04_shp
6M,SH,6M-R03,Stasiun Manggarai - Blok M,0,,6M-R03_shp
6M,SH,6M-R04,Blok M - Stasiun Manggarai,1,,6M-R04_shp
6N,SH,6N-R03,Ragunan - Blok M Via Kemang,0,,6N-R03_shp
6N,SH,6N-R04,Blok M - Ragunan Via Kemang,1,,6N-R04_shp
6P,HK,6P-R01,Cibubur - Kuningan,0,,6P-R01_shp
6P,HK,6P-R02,Kuningan - Cibubur,1,,6P-R02_shp
6Q,SH,6Q-R06,Dukuh Atas - Casablanca via Epicentrum Raya,0,,qrof
6Q,SH,6Q-R07,Casablanca - Dukuh Atas via Epincentrum Raya,1,,w2h8
6T,SH,6T-R01,Pasar Minggu - Velbak,0,,6T-R01_shp
6T,SH,6T-R02,Velbak - Pasar Minggu,1,,6T-R02_shp
6U,SH,6U-R01,Blok M - Pasar Minggu,0,,6U-R01_shp
6U,SH,6U-R02,Pasar Minggu - Blok M,1,,6U-R02_shp
6V,HK,6V-R03,Ragunan - Polda Metro Jaya,0,,vchn
6V,HK,6V-R04,Polda Metro Jaya - Ragunan,1,,vp4c
7,SH,7-R03,Kampung Rambutan - Bidara Cina,0,,7-R03_shp
7,SH,7-R04,Bidara Cina - Kampung Rambutan,1,,7-R04_shp
7A,SH,7A-R01,Kampung Rambutan - Lebak Bulus,0,,7A-R01_shp
7A,SH,7A-R02,Lebak Bulus - Kampung Rambutan,1,,7A-R02_shp
7B,SH,7B-R02,Blok M - Kampung Rambutan,1,,7B-R02_shp
7B,SH,7B-R03,Kampung Rambutan - Blok M,0,,7B-R03_shp
7C,SH,7C-R01,Cibubur - BKN,0,,7C-R01_shp
7C,SH,7C-R02,BKN - Cibubur,1,,7C-R02_shp
